 구 군 ,구분, 2013년 , 2014년  , 2015년 , 2016년 , 2017년 , 2018년 , 2019년 ,2020년,2021년,2022년,2023년
 중구 ,약사동제방유적전시관,0,0,0,0,0,6717,8707,3337,5848,6846,6039
 중구 ,외솔생가및기념관,0,0,0,0,45212,46184,50918,29213,28531,31194,50075
 중구 ,울산동헌및내아,0,0,0,0,46460,42413,48822,36813,6273,39199,69396
 중구 ,태화강십리대숲,0,0,0,0,183989,116856,153318,142736,203727,77823,767858
 중구 ,태화강국가정원,0,0,0,0,1062769,905378,826651,616962,470189,537507,2446747
 중구 ,태화루,0,0,0,0,92140,76432,104029,64494,42997,36075,9848
 중구,울산시립미술관,0,0,0,0,0,0,0,0,0,194235,198334
 남구 ,sk에너지울산complex,11845,9000,5060,203561,4721,3674,2627,461,374,1468,3045
 남구 ,고래생태체험관,362363,498364,444894,342750,347390,363267,346978,113478,188525,343540,335929
 남구 ,울산대공원,291177,379369,523492,648295,621870,615799,456243,148801,271371,456869,436200
 남구 ,울산박물관,225994,144236,164864,6081,212675,171576,186046,40215,65215,96285,121284
 남구 ,장생포고래문화마을,0,0,0,0,0,111709,232688,54879,146710,242627,327040
 남구 ,태화강동굴피아,0,0,0,0,0,69558,89199,19698,28248,131271,166346
 동구 ,대왕암공원,0,0,0,0,723163,597417,640921,394528,447577,1008067,436427
 동구 ,소리체험관,0,0,0,0,43219,30436,32780,16708,13848,27475,12394
 동구 ,슬도,0,0,0,0,174381,173094,200104,91904,152089,198336,212181
 동구 ,옥류천이야기길,0,0,0,0,207316,179923,185085,188847,167606,131232,155049
 동구 ,울산대교전망대,0,0,0,0,0,189320,202358,77657,87366,114477,131261
 동구 ,울산테마식물원,36977,40161,40001,31005,20780,27597,18546,12656,22042,18880,18157
 동구 ,현대중공업,151821,113507,89598,66661,46016,30105,29797,1005,0,3141,15526
 북구 ,강동사랑길2구간,0,0,0,0,0,0,17204,52764,158476,174831,41437
 북구 ,당사해양낚시공원,0,62602,53668,46009,52176,41632,35769,27806,18454,9919,7307
 북구 ,편백산림욕장,0,0,0,0,0,0,64196,230764,149087,143286,63468
 울주군 ,간절곶공원,0,0,0,0,0,62129,39740,50563,65202,79109,75921
 울주군 ,국제클라이밍센터,0,0,0,0,0,7289,11963,6698,10088,12963,11780
 울주군 ,두동면 천전리 각석,0,0,0,0,26639,24837,12533,11531,15806,21645,26912
 울주군 ,반구대 암각화,0,0,0,0,44387,47496,72867,56051,41693,54286,48223
 울주군 ,번개맨 우주센터,0,0,0,0,0,21332,51131,18652,35512,48046,46084
 울주군 ,석남사,103200,107453,70521,67482,106782,80895,81400,75225,80320,95674,190152
 울주군 ,신불산 폭포 자연휴양림,138957,116812,129601,146997,110869,83983,108944,77048,76614,125855,357385
 울주군 ,영남알프스(배내고개),0,0,0,19708,19436,27978,22913,28527,46033,44432,60952
 울주군 ,영남알프스(배내골 사슴목장),0,0,0,101039,62686,105010,116209,160839,141401,71555,57662
 울주군 ,영남알프스(석남사),0,0,0,16354,5271,25742,24147,23927,40198,32996,37931
 울주군 ,영남알프스(복합웰컴센터),0,0,0,116780,99345,101168,69605,71078,103554,95401,116248
 울주군 ,영남알프스레저(동굴나라),361215,421874,595773,454948,520120,556842,567402,228730,291503,460389,187203
 울주군 ,옹기박물관,0,0,0,0,0,23463,50285,19712,26351,43036,40644
 울주군 ,울산대곡박물관,51454,45354,49603,46049,56473,44329,49923,17141,25409,25355,30398
 울주군 ,울산암각화박물관,98321,94168,80501,90456,85259,88751,100244,33452,34655,92535,93633
 울주군 ,울산해양박물관,50334,29602,14622,15624,13289,7062,14263,3506,2816,3434,4081
 울주군 ,충렬공박제상기념관,25244,32585,19791,35775,41918,39982,31490,11230,17336,31280,32570
